Memorial,Zone,Text
Captain Class Frigates Memorial,5,"Captain Class Frigates
The 78 Captain Class Frigates were all built in the USA and supplied to the United Kingdom as part of the lend-lease programme. They were all named after Royal Navy Captains who had served with distinction. 
They served as Convoy escorts and anti-submarine vessels, contributing to the sinking of over 30 U-boats. However 7 were sunk and a further 8 so severely damaged they were considered a constructive total loss. 
At the end of the war they were rapidly returned to the USA in order to avoid further costs. 
They can be divided into two groups: 
Evarts Type – displacement of 1140 long tons, 290 feet long, diesel-electric propulsion and a complement of 156 
Buckley Type– displacement of 1400 long tons, 306 feet long, tubo-electric propulsion and a complement of 156"
Captain Sir Tom Moore Way,8,Captain Sir Tom Moore Way
"Cardiac Risk in the Young, Dawn, Dusk",6,"Cardiac Risk in the Young, Dawn, Dusk. The owl and cockerel features relate to raising awareness of cardiac risk to young people and the need for families/carers to bear in mind that problems of heart disease are not confined to older people and can occur at any time of day or night."
Care of Police Survivors (also known as COPS),,
Castle Class Corvettes Memorial,5,"CASTLE CLASS CORVETTES
To the left is a plaque to the Flower Class Corvettes (all named after flowers) - they were the predecessor of the Castles 
The ships of this class were named after castles. 
The stones laid across the top are taken from various castles and are placed to resemble the battlements on top of a castle wall. "
Cavalry Grove (Crescent),,
Celebration of Life Grove (Co-op),,
Changi Lych Gate,8,"Changi Lych Gate. This is the original Lych Gate from Changi Jail, Singapore, designed by Captain C.D. Pickersgill and built in 1942 by Royal Engineers from the 18th Division who were prisoners of war. The gate was first erected at the entrance to the camp cemetery to mark the graves of those who had died and to give their funerals some dignity. In 1952, the graves were moved to Kranji War Memorial Cemetery and the Lych Gate to the British Garrison Church, St George’s, in Singapore. When British troops withdrew completely from Singapore in 1971, the Lych Gate was dismantled and brought back to England where it was erected at the Queen’s Division Depot, Bassingbourn Barracks in Royston, Hertfordshire. In 2003, the refurbished Lych Gate was reconstructed at the Arboretum by the 39th Engineering Regiment and the re-dedication took place on 8 February 2004. In the structure of the Lych Gate was carved the national emblems of the British Isles. Inside the eaves, in Gothic lettering, is an inscription:
‘To the Glory of God
And in memory of those
Who laid down their lives
For their King and Country’.
The idea of a Lych Gate, familiar to prisoners from churchyards back in England, gave some feeling of dignity and respect for those who had died in appalling conditions. The Lych Gate is set in an area heavy with symbolism. It is the entrance now to the Far East Prisoners of War Grove. Most of the trees here are dedicated to individual FEPOWs, with some mentioning groups, such as the civilian and military women and children who perished and all the FEPOWs lost at sea while being transported."
Changi Prison Map,8,Changi Prison Map
Cheltenham College Memorial,2,"CHELTENHAM COLLEGE
▪ The light-coloured pedestal to the left honours former students of Cheltenham College. Some 6,000 former students have served in the armed forces and over 1,500 lost their lives. 
14 Victoria Crosses have been awarded to former students, and it is one of only two non-military schools allowed to parade the Queens Colour, the other school is Eton."
Cheshire Regiment Association,,
Cheshire Regiment Memorial Bench,,
Cheshire Yeomanry,7,"The Cheshire Yeomanry Memorial
'Moving Forward, Looking Back' 
This memorial was commissioned to coincide with the 225th anniversary of the raising of the Cheshire Yeomanry Regiment. With the constant uncertainties of future British Army structures and the unknown future threats of town planning, what better place to secure our memorial, for future generations of Cheshire Yeomen, than at the National Memorial Arboretum. We now have a permanent and fitting place to lay our wreaths and pay our respects to all our comrades. We have a focal point to be able to contemplate those that have gone before us. 
The Cheshire Yeomanry was raised as a light cavalry regiment in 1797 under the threat of a Napoleonic invasion. The regiment has built a proud history during that period. Our role remains today as Light Cavalry and throughout its early history up to and during World War 2 the regiment served with its constant companion, the horse. Since then, we have had another type of companion, who has been our protection, our weapon, our shelter and our means of transport, the mechanised vehicle. Our memorial represents the strength and power of a horse, but at the same time represents through its design, examples of many of those other vehicles. 
Designer and Sculptor - Joanne Risley (Sculptor) 
“I was very honoured to have been chosen to create the memorial sculpture for the Cheshire Yeomanry to celebrate 225 years since its inception. In response to the brief, I have designed a life-sized rearing war horse created using the mechanisms, structure and detail found on the Fox, Ferret and Jackal armoured vehicles. 
Objects of war mix with more familiar domestic objects such as a spade and the beloved ‘BV’ boiling vessel that provides the crew with hot water for tea and cooking. The plinth carries a turret wheel which frames the cast bronze regimental crest. I have tried to encapsulate the strength and dynamism of the animal with the armoured feel of the regiment’s vehicles. 
The arboretum already features a highly naturalistic life-size horse so I wanted to create a unique and modern monument that would strike a different note. The regiment kindly provided historic context, photographic material and access to Fox Barracks where I was able to study one of the Jackal vehicles up close. At the Cheshire Military Museum the Fox and Ferret armoured vehicles provided further inspiration. 
The body of the horse is tank-like and incorporates toeholds, wheel arches, rear lights and smoke canisters. The legs and thighs are formed from wheels and tyre treads with the helmet-like head supported by gun parts and a spine and ribs derived from the Jackal anti-roll system. 
The whole sculpture stands 3m tall. Created from weathering steel, which contains copper and smaller bronze elements, the overall appearance will take on a rusted and aged appearance whilst the material’s unique properties provide a protective surface that will endure indefinitely. 
As well as being of symbolic and emotional importance to the regiment, the horse embodies courage, freedom, power, endurance, personal drive, passion and heroism. The animal appears to be moving forward but looking back in order to represent soldiers of the regiment past and present. 
Joanne Risley studied Fine Art at Mid-Cheshire College, Duncan of Jordanstone College of Art and then at The University of Ulster. 
She was elected a member of Manchester Academy of Fine Art in 2017. www.joannerisley.co.uk 
Materials Used - Rusted Corten steel, copper, and smaller bronze elements. 
Age of Memorial - The build was completed during 2021 and installed at the NMA in June 2022 and a dedication ceremony was held 12th June 2022. 
Symbolism - The Memorial has been created to allow visitors to remember those lost and to contemplate, surrounded by the memorials of all Yeomanry Regiments and positioned so that there is a full view from all angles of Yeomanry Avenue."
